Product_ID,SKU,Product_Name,Product_Brand,Product_Category_Name,Product_Category_ID
P00118742,COMP-DEL-547,Dell Computers 613,Dell,Computers,13
P00297942,COMP-LEN-273,Lenovo Computers 713,Lenovo,Computers,15
P00266842,COMP-LEN-670,Lenovo Computers 342,Lenovo,Computers,15
P00058342,ELEC-APP-951,Apple Electronics 999,Apple,Electronics,3
P00032442,APP-SAM-115,Samsung Appliances 265,Samsung,Appliances,6
P00105942,COMP-HP-606,HP Computers 874,HP,Computers,1
P00182642,APP-PHI-746,Philips Appliances 598,Philips,Appliances,9
P00186942,ELEC-SAM-572,Samsung Electronics 548,Samsung,Electronics,5
P00155442,COMP-LEN-789,Lenovo Computers 502,Lenovo,Computers,15
P00221342,COMP-LEN-256,Lenovo Computers 948,Lenovo,Computers,15
P00087242,COMP-ASU-170,Asus Computers 972,Asus,Computers,14
P00111142,ELEC-APP-201,Apple Electronics 312,Apple,Electronics,3
P00259342,COMP-ASU-756,Asus Computers 596,Asus,Computers,14
P0094542,ELEC-LG-370,LG Electronics 231,LG,Electronics,12
P00148642,ELEC-TOS-769,Toshiba Electronics 153,Toshiba,Electronics,16
P00312142,APP-SAM-714,Samsung Appliances 996,Samsung,Appliances,6
P00113242,COMP-HP-435,HP Computers 986,HP,Computers,1
P00192642,COMP-DEL-575,Dell Computers 655,Dell,Computers,13
P00110842,ELEC-LG-827,LG Electronics 329,LG,Electronics,12
P00189642,COMP-DEL-673,Dell Computers 186,Dell,Computers,13
P00304242,APP-SAM-336,Samsung Appliances 316,Samsung,Appliances,6
P00365242,ELEC-SAM-409,Samsung Electronics 929,Samsung,Electronics,5
P00129542,COMP-DEL-588,Dell Computers 810,Dell,Computers,13
P00140742,COMP-DEL-623,Dell Computers 983,Dell,Computers,13
P00182342,COMP-HP-680,HP Computers 969,HP,Computers,1
P00276642,COMP-DEL-488,Dell Computers 620,Dell,Computers,13
P00334242,APP-LG-523,LG Appliances 357,LG,Appliances,11
P00247542,ELEC-APP-119,Apple Electronics 401,Apple,Electronics,3
P00338442,ELEC-APP-612,Apple Electronics 423,Apple,Electronics,3
P00275142,COMP-DEL-808,Dell Computers 905,Dell,Computers,13
P00333042,COMP-DEL-311,Dell Computers 202,Dell,Computers,13
P00166242,HLT-PHI-684,Philips Health 458,Philips,Health,10
P00161942,MOB-APP-815,Apple Mobile 205,Apple,Mobile,4
P00348242,APP-LG-718,LG Appliances 714,LG,Appliances,11
P00042142,APP-LG-287,LG Appliances 701,LG,Appliances,11
P00244242,COMP-DEL-411,Dell Computers 957,Dell,Computers,13
P00217742,COMP-DEL-127,Dell Computers 884,Dell,Computers,13
P00019342,COMP-ASU-991,Asus Computers 590,Asus,Computers,14
P00100642,ELEC-TOS-941,Toshiba Electronics 615,Toshiba,Electronics,16
P00073842,COMP-ASU-813,Asus Computers 540,Asus,Computers,14
P00366542,ELEC-APP-296,Apple Electronics 610,Apple,Electronics,3
P00190742,ELEC-APP-289,Apple Electronics 793,Apple,Electronics,3
P00151842,COMP-LEN-428,Lenovo Computers 306,Lenovo,Computers,15
P00112642,ENT-SON-301,Sony Entertainment 951,Sony,Entertainment,8
P00118442,ELEC-APP-579,Apple Electronics 568,Apple,Electronics,3
P00034442,ELEC-APP-223,Apple Electronics 429,Apple,Electronics,3
P00222242,ELEC-TOS-949,Toshiba Electronics 102,Toshiba,Electronics,16
P00118342,ELEC-TOS-650,Toshiba Electronics 501,Toshiba,Electronics,16
P00324742,COMP-DEL-171,Dell Computers 138,Dell,Computers,13
P00190042,APP-SAM-776,Samsung Appliances 656,Samsung,Appliances,6
P0094142,ELEC-TOS-684,Toshiba Electronics 783,Toshiba,Electronics,16
P00138542,ELEC-TOS-288,Toshiba Electronics 264,Toshiba,Electronics,16
P00158542,COMP-DEL-495,Dell Computers 767,Dell,Computers,13
P00157542,ELEC-HP-344,HP Electronics 236,HP,Electronics,2
P00044142,ENT-SON-895,Sony Entertainment 245,Sony,Entertainment,8
P00112542,ELEC-SAM-701,Samsung Electronics 754,Samsung,Electronics,5
P00339542,APP-PHI-551,Philips Appliances 678,Philips,Appliances,9
P00127842,COMP-DEL-282,Dell Computers 375,Dell,Computers,13
P00125942,COMP-DEL-910,Dell Computers 790,Dell,Computers,13
P00251342,COMP-ASU-550,Asus Computers 864,Asus,Computers,14
P00249642,ELEC-APP-463,Apple Electronics 352,Apple,Electronics,3
P00124842,MOB-APP-733,Apple Mobile 206,Apple,Mobile,4
P00250642,APP-SAM-298,Samsung Appliances 279,Samsung,Appliances,6
P00058142,COMP-LEN-835,Lenovo Computers 673,Lenovo,Computers,15
P00117442,APP-LG-629,LG Appliances 626,LG,Appliances,11
P00251642,COMP-ASU-371,Asus Computers 955,Asus,Computers,14
P00244842,ELEC-HP-667,HP Electronics 635,HP,Electronics,2
P00220242,APP-PHI-331,Philips Appliances 988,Philips,Appliances,9
P00351142,APP-LG-765,LG Appliances 318,LG,Appliances,11
P00213242,ELEC-HP-896,HP Electronics 749,HP,Electronics,2
P00195942,ELEC-HP-984,HP Electronics 698,HP,Electronics,2
P00115642,MOB-APP-679,Apple Mobile 161,Apple,Mobile,4
P0098242,HLT-PHI-254,Philips Health 460,Philips,Health,10
P00262242,APP-PHI-818,Philips Appliances 764,Philips,Appliances,9
P00258742,APP-LG-165,LG Appliances 933,LG,Appliances,11
P00218242,COMP-LEN-952,Lenovo Computers 237,Lenovo,Computers,15
P00021742,APP-SAM-714,Samsung Appliances 335,Samsung,Appliances,6
P00313042,APP-LG-293,LG Appliances 104,LG,Appliances,11
P00133742,COMP-DEL-381,Dell Computers 247,Dell,Computers,13
P00077042,ELEC-TOS-119,Toshiba Electronics 510,Toshiba,Electronics,16
P00280542,ELEC-APP-654,Apple Electronics 590,Apple,Electronics,3
P00225842,COMP-LEN-417,Lenovo Computers 177,Lenovo,Computers,15
P00278942,COMP-ASU-170,Asus Computers 645,Asus,Computers,14
P00004742,APP-SAM-474,Samsung Appliances 937,Samsung,Appliances,6
P00198042,APP-LG-757,LG Appliances 159,LG,Appliances,11
P00177442,APP-PHI-981,Philips Appliances 878,Philips,Appliances,9
P00000642,COMP-ASU-782,Asus Computers 230,Asus,Computers,14
P00288942,ELEC-SAM-909,Samsung Electronics 596,Samsung,Electronics,5
P00270942,APP-SAM-316,Samsung Appliances 107,Samsung,Appliances,6
P00345842,COMP-LEN-250,Lenovo Computers 522,Lenovo,Computers,15
P00032042,COMP-DEL-310,Dell Computers 692,Dell,Computers,13
P00112342,APP-LG-757,LG Appliances 465,LG,Appliances,11
P00031842,COMP-DEL-222,Dell Computers 938,Dell,Computers,13
P00346642,APP-LG-994,LG Appliances 804,LG,Appliances,11
P00205642,ENT-SON-797,Sony Entertainment 515,Sony,Entertainment,8
P00206442,HLT-PHI-699,Philips Health 494,Philips,Health,10
P00046742,COMP-ASU-271,Asus Computers 704,Asus,Computers,14
P00120042,ELEC-TOS-601,Toshiba Electronics 312,Toshiba,Electronics,16
P00043242,HLT-PHI-174,Philips Health 704,Philips,Health,10
P00057242,ELEC-SAM-417,Samsung Electronics 673,Samsung,Electronics,5
P00022842,COMP-LEN-619,Lenovo Computers 824,Lenovo,Computers,15
P00252042,HLT-PHI-517,Philips Health 809,Philips,Health,10
P00042242,HLT-PHI-413,Philips Health 121,Philips,Health,10
P00059542,COMP-DEL-204,Dell Computers 796,Dell,Computers,13
P00021242,ELEC-TOS-425,Toshiba Electronics 259,Toshiba,Electronics,16
P00023042,ELEC-HP-558,HP Electronics 412,HP,Electronics,2
P00144242,APP-PHI-465,Philips Appliances 779,Philips,Appliances,9
P00101342,HLT-PHI-705,Philips Health 671,Philips,Health,10
P00289342,COMP-ASU-562,Asus Computers 406,Asus,Computers,14
P00281742,COMP-ASU-710,Asus Computers 608,Asus,Computers,14
P00266642,COMP-DEL-316,Dell Computers 246,Dell,Computers,13
P00323742,APP-PHI-108,Philips Appliances 264,Philips,Appliances,9
P00116342,COMP-HP-779,HP Computers 247,HP,Computers,1
P00117142,COMP-ASU-996,Asus Computers 214,Asus,Computers,14
P00084442,ENT-SON-254,Sony Entertainment 245,Sony,Entertainment,8
P00331542,ELEC-TOS-739,Toshiba Electronics 873,Toshiba,Electronics,16
P00178942,ELEC-TOS-992,Toshiba Electronics 788,Toshiba,Electronics,16
P00026042,ELEC-TOS-168,Toshiba Electronics 781,Toshiba,Electronics,16
P00233542,ELEC-LG-202,LG Electronics 949,LG,Electronics,12
P00127242,ENT-SON-525,Sony Entertainment 109,Sony,Entertainment,8
P00349942,COMP-HP-354,HP Computers 424,HP,Computers,1
P00303342,ELEC-APP-954,Apple Electronics 172,Apple,Electronics,3
P00051442,ELEC-SON-819,Sony Electronics 977,Sony,Electronics,7
P00275642,ELEC-TOS-575,Toshiba Electronics 600,Toshiba,Electronics,16
P00278642,COMP-ASU-915,Asus Computers 912,Asus,Computers,14
P00322042,ENT-SON-559,Sony Entertainment 505,Sony,Entertainment,8
P00216342,ELEC-SAM-498,Samsung Electronics 714,Samsung,Electronics,5
P00329342,ELEC-APP-550,Apple Electronics 792,Apple,Electronics,3
P00332342,COMP-HP-412,HP Computers 534,HP,Computers,1
P00111742,APP-PHI-599,Philips Appliances 822,Philips,Appliances,9
P00293742,ELEC-HP-122,HP Electronics 514,HP,Electronics,2
P00032842,APP-SAM-900,Samsung Appliances 495,Samsung,Appliances,6
P00216142,COMP-ASU-459,Asus Computers 701,Asus,Computers,14
P00001642,ELEC-TOS-294,Toshiba Electronics 556,Toshiba,Electronics,16
P00351842,COMP-LEN-526,Lenovo Computers 239,Lenovo,Computers,15
P00145442,MOB-APP-226,Apple Mobile 997,Apple,Mobile,4
P00344242,HLT-PHI-391,Philips Health 196,Philips,Health,10
P00327242,ELEC-SON-262,Sony Electronics 893,Sony,Electronics,7
P00241142,COMP-DEL-657,Dell Computers 914,Dell,Computers,13
P00219242,MOB-APP-995,Apple Mobile 204,Apple,Mobile,4
P00057342,MOB-APP-677,Apple Mobile 158,Apple,Mobile,4
P00165742,HLT-PHI-589,Philips Health 692,Philips,Health,10
P00154642,ELEC-SAM-837,Samsung Electronics 487,Samsung,Electronics,5
P00192942,COMP-HP-104,HP Computers 334,HP,Computers,1
P00247042,ELEC-LG-134,LG Electronics 681,LG,Electronics,12
P00150542,COMP-ASU-531,Asus Computers 149,Asus,Computers,14
P00347142,ELEC-SON-734,Sony Electronics 953,Sony,Electronics,7
P00326742,COMP-LEN-821,Lenovo Computers 479,Lenovo,Computers,15
P00330442,ENT-SON-452,Sony Entertainment 517,Sony,Entertainment,8
P00327842,ELEC-SON-289,Sony Electronics 666,Sony,Electronics,7
P00218342,COMP-ASU-808,Asus Computers 656,Asus,Computers,14
P00259042,COMP-LEN-867,Lenovo Computers 201,Lenovo,Computers,15
P00102542,APP-SAM-539,Samsung Appliances 634,Samsung,Appliances,6
P00121142,APP-SAM-550,Samsung Appliances 476,Samsung,Appliances,6
P00228242,ELEC-SAM-230,Samsung Electronics 686,Samsung,Electronics,5
P00309542,ELEC-SAM-579,Samsung Electronics 883,Samsung,Electronics,5
P00106742,COMP-ASU-106,Asus Computers 766,Asus,Computers,14
P00102642,COMP-ASU-329,Asus Computers 203,Asus,Computers,14
P00127442,ELEC-TOS-730,Toshiba Electronics 348,Toshiba,Electronics,16
P00345642,ELEC-SAM-783,Samsung Electronics 776,Samsung,Electronics,5
P00357842,ELEC-SAM-131,Samsung Electronics 195,Samsung,Electronics,5
P00115342,ELEC-APP-381,Apple Electronics 214,Apple,Electronics,3
P00174442,COMP-LEN-279,Lenovo Computers 150,Lenovo,Computers,15
P00282642,APP-SAM-791,Samsung Appliances 541,Samsung,Appliances,6
P00037142,COMP-DEL-730,Dell Computers 978,Dell,Computers,13
P00192042,COMP-LEN-666,Lenovo Computers 671,Lenovo,Computers,15
P00197542,ELEC-TOS-668,Toshiba Electronics 704,Toshiba,Electronics,16
P00048742,ELEC-APP-558,Apple Electronics 312,Apple,Electronics,3
P00110142,ENT-SON-813,Sony Entertainment 882,Sony,Entertainment,8
P00120842,HLT-PHI-683,Philips Health 608,Philips,Health,10
P00267742,COMP-LEN-859,Lenovo Computers 212,Lenovo,Computers,15
P00086442,COMP-ASU-962,Asus Computers 366,Asus,Computers,14
P00331842,APP-SAM-531,Samsung Appliances 290,Samsung,Appliances,6
P00288642,COMP-DEL-377,Dell Computers 212,Dell,Computers,13
P00318742,COMP-LEN-444,Lenovo Computers 462,Lenovo,Computers,15
P00028442,ELEC-TOS-175,Toshiba Electronics 760,Toshiba,Electronics,16
P00208342,COMP-ASU-439,Asus Computers 117,Asus,Computers,14
P00277442,ELEC-LG-760,LG Electronics 698,LG,Electronics,12
P00085242,HLT-PHI-480,Philips Health 842,Philips,Health,10
P00279442,COMP-ASU-461,Asus Computers 390,Asus,Computers,14
P00235242,ENT-SON-842,Sony Entertainment 442,Sony,Entertainment,8
P00251542,MOB-APP-878,Apple Mobile 169,Apple,Mobile,4
P00003242,APP-LG-118,LG Appliances 538,LG,Appliances,11
P00221542,ELEC-TOS-726,Toshiba Electronics 999,Toshiba,Electronics,16
P00142142,APP-LG-258,LG Appliances 603,LG,Appliances,11
P00044442,MOB-APP-387,Apple Mobile 305,Apple,Mobile,4
P00147742,APP-PHI-998,Philips Appliances 100,Philips,Appliances,9
P00030942,APP-SAM-738,Samsung Appliances 617,Samsung,Appliances,6
P00288042,ELEC-LG-960,LG Electronics 499,LG,Electronics,12
P00313142,APP-SAM-756,Samsung Appliances 703,Samsung,Appliances,6
P00195442,COMP-DEL-839,Dell Computers 210,Dell,Computers,13
P00255842,APP-LG-951,LG Appliances 133,LG,Appliances,11
P00112142,COMP-DEL-300,Dell Computers 170,Dell,Computers,13
P00120342,COMP-DEL-240,Dell Computers 459,Dell,Computers,13
P00110542,ELEC-HP-989,HP Electronics 133,HP,Electronics,2
P00279942,ELEC-TOS-760,Toshiba Electronics 366,Toshiba,Electronics,16
P00303742,APP-PHI-129,Philips Appliances 118,Philips,Appliances,9
P00316742,ELEC-APP-269,Apple Electronics 958,Apple,Electronics,3
P00115242,ELEC-APP-811,Apple Electronics 804,Apple,Electronics,3
P00302842,APP-PHI-213,Philips Appliances 224,Philips,Appliances,9
P00066442,COMP-DEL-940,Dell Computers 464,Dell,Computers,13
P00273442,ELEC-TOS-469,Toshiba Electronics 147,Toshiba,Electronics,16
P00210142,HLT-PHI-425,Philips Health 110,Philips,Health,10
P00212542,COMP-LEN-895,Lenovo Computers 583,Lenovo,Computers,15
P00321742,APP-LG-965,LG Appliances 569,LG,Appliances,11
P00020042,COMP-DEL-856,Dell Computers 619,Dell,Computers,13
P00051942,COMP-DEL-387,Dell Computers 737,Dell,Computers,13
P00303542,COMP-LEN-191,Lenovo Computers 348,Lenovo,Computers,15
P00228142,COMP-LEN-629,Lenovo Computers 737,Lenovo,Computers,15
P00123142,ELEC-TOS-362,Toshiba Electronics 245,Toshiba,Electronics,16
P00079542,ENT-SON-692,Sony Entertainment 936,Sony,Entertainment,8
P00103142,ELEC-HP-410,HP Electronics 407,HP,Electronics,2
P00305542,MOB-APP-901,Apple Mobile 636,Apple,Mobile,4
P00031042,COMP-DEL-835,Dell Computers 671,Dell,Computers,13
P00260042,ELEC-SON-406,Sony Electronics 833,Sony,Electronics,7
P00055642,MOB-APP-892,Apple Mobile 264,Apple,Mobile,4
P00312742,COMP-LEN-566,Lenovo Computers 819,Lenovo,Computers,15
P00010742,COMP-LEN-679,Lenovo Computers 839,Lenovo,Computers,15
P00223242,ELEC-TOS-191,Toshiba Electronics 479,Toshiba,Electronics,16
P00114942,COMP-HP-543,HP Computers 783,HP,Computers,1
P00183242,COMP-ASU-587,Asus Computers 930,Asus,Computers,14
P00030842,ELEC-TOS-670,Toshiba Electronics 259,Toshiba,Electronics,16
P00220142,ELEC-HP-677,HP Electronics 751,HP,Electronics,2
P00130442,COMP-LEN-104,Lenovo Computers 497,Lenovo,Computers,15
P00323042,ELEC-LG-568,LG Electronics 586,LG,Electronics,12
P00344742,COMP-LEN-471,Lenovo Computers 846,Lenovo,Computers,15
P00182442,COMP-DEL-538,Dell Computers 284,Dell,Computers,13
P00015342,COMP-HP-708,HP Computers 907,HP,Computers,1
P00103042,COMP-LEN-450,Lenovo Computers 424,Lenovo,Computers,15
P00187842,COMP-HP-196,HP Computers 210,HP,Computers,1
P00162442,ELEC-APP-797,Apple Electronics 899,Apple,Electronics,3
P00078542,MOB-APP-300,Apple Mobile 115,Apple,Mobile,4
P00324442,COMP-ASU-468,Asus Computers 673,Asus,Computers,14
P00041642,APP-LG-628,LG Appliances 265,LG,Appliances,11
P00050542,COMP-DEL-343,Dell Computers 442,Dell,Computers,13
P00006442,MOB-APP-962,Apple Mobile 246,Apple,Mobile,4
P00350942,ELEC-APP-266,Apple Electronics 448,Apple,Electronics,3
P00000142,COMP-LEN-894,Lenovo Computers 198,Lenovo,Computers,15
P00034042,APP-SAM-264,Samsung Appliances 689,Samsung,Appliances,6
P00143142,COMP-ASU-188,Asus Computers 237,Asus,Computers,14
P00317942,COMP-HP-249,HP Computers 122,HP,Computers,1
P00335542,APP-LG-343,LG Appliances 755,LG,Appliances,11
P00361842,COMP-ASU-742,Asus Computers 241,Asus,Computers,14
P00147942,ELEC-LG-847,LG Electronics 426,LG,Electronics,12
P00028042,ELEC-SAM-680,Samsung Electronics 849,Samsung,Electronics,5
P00117542,ENT-SON-759,Sony Entertainment 305,Sony,Entertainment,8
P00130742,ENT-SON-609,Sony Entertainment 187,Sony,Entertainment,8
P00024142,ELEC-TOS-367,Toshiba Electronics 697,Toshiba,Electronics,16
P00209742,COMP-ASU-232,Asus Computers 194,Asus,Computers,14
P00160042,ELEC-SON-264,Sony Electronics 722,Sony,Electronics,7
P00042342,APP-LG-610,LG Appliances 297,LG,Appliances,11
P00016542,COMP-ASU-653,Asus Computers 361,Asus,Computers,14
P00016742,ELEC-TOS-448,Toshiba Electronics 255,Toshiba,Electronics,16
P00227642,ELEC-HP-628,HP Electronics 992,HP,Electronics,2
P00146142,COMP-LEN-387,Lenovo Computers 856,Lenovo,Computers,15
P00070542,ELEC-SON-319,Sony Electronics 442,Sony,Electronics,7
P00129842,ELEC-APP-793,Apple Electronics 799,Apple,Electronics,3
P00243942,ELEC-SON-869,Sony Electronics 907,Sony,Electronics,7
P00246742,APP-PHI-200,Philips Appliances 624,Philips,Appliances,9
P00310142,COMP-ASU-900,Asus Computers 394,Asus,Computers,14
P00244142,COMP-HP-202,HP Computers 633,HP,Computers,1
P00190142,APP-SAM-966,Samsung Appliances 360,Samsung,Appliances,6
P00109242,COMP-HP-336,HP Computers 630,HP,Computers,1
P00089342,ELEC-SON-322,Sony Electronics 878,Sony,Electronics,7
P00288542,ELEC-HP-318,HP Electronics 167,HP,Electronics,2
P00212242,APP-LG-547,LG Appliances 710,LG,Appliances,11
P00319342,APP-SAM-229,Samsung Appliances 613,Samsung,Appliances,6
P00302942,COMP-ASU-927,Asus Computers 295,Asus,Computers,14
P00145942,COMP-LEN-428,Lenovo Computers 371,Lenovo,Computers,15
P00026342,ELEC-APP-769,Apple Electronics 655,Apple,Electronics,3
P00148842,COMP-LEN-889,Lenovo Computers 584,Lenovo,Computers,15
P00299842,COMP-LEN-354,Lenovo Computers 418,Lenovo,Computers,15
P00313342,ELEC-APP-147,Apple Electronics 572,Apple,Electronics,3
P00102442,HLT-PHI-792,Philips Health 735,Philips,Health,10
P00237542,ELEC-SON-917,Sony Electronics 943,Sony,Electronics,7
P0099342,APP-SAM-955,Samsung Appliances 900,Samsung,Appliances,6
P00171542,ELEC-LG-737,LG Electronics 871,LG,Electronics,12
P00350342,APP-PHI-989,Philips Appliances 986,Philips,Appliances,9
P00110742,ELEC-SON-628,Sony Electronics 476,Sony,Electronics,7
P00117642,APP-PHI-418,Philips Appliances 779,Philips,Appliances,9
P00114142,ELEC-SON-386,Sony Electronics 712,Sony,Electronics,7
P00119142,HLT-PHI-276,Philips Health 511,Philips,Health,10
P00280742,COMP-HP-409,HP Computers 918,HP,Computers,1
P00271142,APP-PHI-503,Philips Appliances 917,Philips,Appliances,9
P00003942,COMP-LEN-961,Lenovo Computers 766,Lenovo,Computers,15
P00151742,ELEC-LG-607,LG Electronics 819,LG,Electronics,12
P00050642,COMP-ASU-953,Asus Computers 679,Asus,Computers,14
P00114742,COMP-HP-104,HP Computers 427,HP,Computers,1
P00113942,ELEC-HP-988,HP Electronics 562,HP,Electronics,2
P00120942,ELEC-APP-951,Apple Electronics 952,Apple,Electronics,3
P00083842,ELEC-LG-797,LG Electronics 406,LG,Electronics,12
P00317842,ELEC-HP-910,HP Electronics 583,HP,Electronics,2
P00030642,APP-LG-625,LG Appliances 328,LG,Appliances,11
P00273642,COMP-LEN-854,Lenovo Computers 136,Lenovo,Computers,15
P00002542,ELEC-TOS-612,Toshiba Electronics 215,Toshiba,Electronics,16
P00331642,ELEC-LG-551,LG Electronics 778,LG,Electronics,12
P00331242,ELEC-SAM-480,Samsung Electronics 341,Samsung,Electronics,5
P0096442,ELEC-SAM-513,Samsung Electronics 488,Samsung,Electronics,5
P00050242,APP-PHI-890,Philips Appliances 360,Philips,Appliances,9
P00131942,COMP-ASU-370,Asus Computers 761,Asus,Computers,14
P00132042,ELEC-SAM-623,Samsung Electronics 419,Samsung,Electronics,5
P00013742,ENT-SON-428,Sony Entertainment 603,Sony,Entertainment,8
P00119342,COMP-LEN-328,Lenovo Computers 648,Lenovo,Computers,15
P00182142,COMP-ASU-931,Asus Computers 770,Asus,Computers,14
P00188942,HLT-PHI-112,Philips Health 326,Philips,Health,10
P00203142,COMP-DEL-633,Dell Computers 612,Dell,Computers,13
P00320442,ELEC-APP-916,Apple Electronics 289,Apple,Electronics,3
P00121642,APP-LG-915,LG Appliances 202,LG,Appliances,11
P00289542,ELEC-APP-980,Apple Electronics 920,Apple,Electronics,3
P00329742,ELEC-LG-119,LG Electronics 453,LG,Electronics,12
P00326642,ELEC-SON-906,Sony Electronics 646,Sony,Electronics,7
P00336142,HLT-PHI-588,Philips Health 857,Philips,Health,10
P00111442,COMP-DEL-333,Dell Computers 306,Dell,Computers,13
P00234742,COMP-LEN-890,Lenovo Computers 391,Lenovo,Computers,15
P00090842,ELEC-TOS-696,Toshiba Electronics 978,Toshiba,Electronics,16
P00214542,APP-PHI-975,Philips Appliances 980,Philips,Appliances,9
P00110942,MOB-APP-890,Apple Mobile 363,Apple,Mobile,4
P00289942,ENT-SON-882,Sony Entertainment 231,Sony,Entertainment,8
P00104842,APP-PHI-619,Philips Appliances 228,Philips,Appliances,9
P00113142,ELEC-TOS-632,Toshiba Electronics 626,Toshiba,Electronics,16
P00177942,COMP-DEL-162,Dell Computers 517,Dell,Computers,13
P00265242,COMP-ASU-496,Asus Computers 848,Asus,Computers,14
P00118142,COMP-DEL-930,Dell Computers 750,Dell,Computers,13
P00003642,APP-PHI-682,Philips Appliances 149,Philips,Appliances,9
P00178342,COMP-DEL-118,Dell Computers 568,Dell,Computers,13
P00289742,ENT-SON-510,Sony Entertainment 956,Sony,Entertainment,8
P00085042,COMP-DEL-652,Dell Computers 283,Dell,Computers,13
P00041542,HLT-PHI-414,Philips Health 703,Philips,Health,10
P00249142,MOB-APP-880,Apple Mobile 725,Apple,Mobile,4
P00284042,ELEC-TOS-474,Toshiba Electronics 716,Toshiba,Electronics,16
P00165442,COMP-ASU-905,Asus Computers 747,Asus,Computers,14
P00115942,ELEC-TOS-546,Toshiba Electronics 222,Toshiba,Electronics,16
P00074442,ELEC-LG-244,LG Electronics 261,LG,Electronics,12
P00047242,COMP-ASU-959,Asus Computers 192,Asus,Computers,14
P00199042,COMP-DEL-415,Dell Computers 956,Dell,Computers,13
P00192542,APP-SAM-992,Samsung Appliances 599,Samsung,Appliances,6
P00350042,COMP-LEN-538,Lenovo Computers 914,Lenovo,Computers,15
P00248442,ELEC-HP-830,HP Electronics 261,HP,Electronics,2
P00172842,ELEC-LG-647,LG Electronics 525,LG,Electronics,12
P00198142,MOB-APP-249,Apple Mobile 603,Apple,Mobile,4
P00282142,ELEC-HP-434,HP Electronics 439,HP,Electronics,2
P00166942,HLT-PHI-943,Philips Health 749,Philips,Health,10
P00187742,COMP-DEL-287,Dell Computers 455,Dell,Computers,13
P00003442,APP-LG-475,LG Appliances 983,LG,Appliances,11
P00060242,ELEC-SAM-787,Samsung Electronics 985,Samsung,Electronics,5
P00137642,COMP-DEL-879,Dell Computers 922,Dell,Computers,13
P00126142,MOB-APP-525,Apple Mobile 409,Apple,Mobile,4
P00219842,COMP-LEN-199,Lenovo Computers 194,Lenovo,Computers,15
P00046142,COMP-DEL-285,Dell Computers 651,Dell,Computers,13
P00328142,ELEC-HP-705,HP Electronics 892,HP,Electronics,2
P00255542,MOB-APP-765,Apple Mobile 756,Apple,Mobile,4
P00250842,ELEC-SAM-322,Samsung Electronics 624,Samsung,Electronics,5
P00260142,ELEC-TOS-354,Toshiba Electronics 128,Toshiba,Electronics,16
P0097142,COMP-LEN-490,Lenovo Computers 533,Lenovo,Computers,15
P00209842,APP-PHI-429,Philips Appliances 264,Philips,Appliances,9
P00212942,APP-LG-156,LG Appliances 532,LG,Appliances,11
P00283942,APP-LG-713,LG Appliances 518,LG,Appliances,11
P00303242,COMP-HP-100,HP Computers 924,HP,Computers,1
P00170442,COMP-LEN-469,Lenovo Computers 740,Lenovo,Computers,15
P00045842,ELEC-APP-991,Apple Electronics 614,Apple,Electronics,3
P00040442,APP-SAM-310,Samsung Appliances 469,Samsung,Appliances,6
P00195842,ELEC-APP-735,Apple Electronics 437,Apple,Electronics,3
